location_PK,Division,Longitude,Latitude
2585,D14,-79.41607423,43.66406885
2586,D23,-79.63465085,43.75125233
2587,D51,-79.3657162,43.65533986
2588,D11,-79.45180676,43.653883
2589,D32,-79.43257921,43.78703613
2590,D52,-79.38542161,43.64752091
2591,D14,-79.43982394,43.63995115
2592,D41,-79.26414782,43.72782761
2593,D32,-79.41188176,43.79305284
2594,D32,-79.39486543,43.72920483
2595,D51,-79.37513727,43.66825437
2596,D42,-79.31456121,43.80178452
2597,D31,-79.50146129,43.74150072
2598,D32,-79.43643545,43.7472482
2599,D52,-79.38943687,43.65023156
2600,D11,-79.48058501,43.6655789
2601,D32,-79.44840913,43.77343906
2602,D43,-79.17240665,43.78218914
2603,D13,-79.41737478,43.68578395
2604,D13,-79.46156461,43.70726905
2605,D11,-79.44545662,43.66024366
2606,D22,-79.57978988,43.62929136
2607,D22,-79.56719231,43.63445038
2608,D31,-79.4888797,43.74309097
2609,D54,-79.34730449,43.6784602
2610,D33,-79.31322189,43.75221273
2611,D41,-79.27557913,43.69587207
2612,D22,-79.48678673,43.62635932
2613,D31,-79.50263094,43.7653802
2614,D14,-79.42524484,43.64083535
2615,D54,-79.30660488,43.69631536
2616,D31,-79.53073441,43.74792305
2617,D33,-79.35992916,43.78509215
2618,D13,-79.44270502,43.70632775
2619,D11,-79.43257915,43.64213295
2620,D42,-79.21762405,43.79812068
2621,D55,-79.33222359,43.66280519
2622,D55,-79.33234245,43.6814835
2623,D41,-79.25674973,43.69755368
2624,D14,-79.42266495,43.65440014
2625,D31,-79.48641178,43.74477798
2626,D52,-79.38944954,43.65752945
2627,D22,-79.49961567,43.6019997
2628,D32,-79.40282947,43.7632966
2629,D33,-79.36615175,43.79838393
2630,D43,-79.22828185,43.7513803
2631,D41,-79.25478684,43.70624833
2632,D31,-79.49713601,43.72435194
2633,D32,-79.39157092,43.74647709
2634,D41,-79.31412489,43.76544603
2635,D14,-79.39659876,43.64943643
2636,D43,-79.18861529,43.77473674
2637,D14,-79.40713565,43.65840411
2638,D33,-79.36399518,43.75725901
2639,D43,-79.21833786,43.78951732
2640,D43,-79.15649407,43.78501512
2641,D42,-79.29728864,43.82595025
2642,D32,-79.43547658,43.78734384
2643,D55,-79.35804422,43.67540158
2644,D33,-79.33154539,43.78880412
2645,D51,-79.37843045,43.65040714
2646,D42,-79.31315601,43.81499929
2647,D22,-79.53245454,43.64986238
2648,D42,-79.31724825,43.81576325
2649,D14,-79.40083942,43.63625332
2650,D22,-79.56220566,43.61983226
2651,D52,-79.38984563,43.65622357
2652,D32,-79.43779029,43.78588693
2653,D51,-79.35812204,43.66119775
2654,D22,-79.56012697,43.64864434
2655,D23,-79.53402754,43.68981698
2656,D12,-79.50920371,43.70403931
2657,D43,-79.24003832,43.74238904
2658,D43,-79.22239378,43.74926812
2659,D54,-79.36004872,43.67704588
2660,D55,-79.30674256,43.68453519
2661,D41,-79.28460011,43.76650289
2662,D52,-79.3879785,43.66997438
2663,D54,-79.33761189,43.68124567
2664,D11,-79.44816836,43.661562
2665,D42,-79.26314343,43.82321249
2666,D32,-79.45988271,43.78396514
2667,D43,-79.26109158,43.77361154
2668,D41,-79.26789116,43.73220089
2669,D31,-79.53743626,43.7206709
2670,D41,-79.2567985,43.7348062
2671,D42,-79.30622682,43.79143735
2672,D32,-79.41685323,43.72542133
2673,D54,-79.31348249,43.72602399
2674,D22,-79.49540608,43.64960616
2675,D23,-79.53016245,43.699347
2676,D22,-79.55766102,43.64148524
2677,D33,-79.3641265,43.76267925
2678,D31,-79.48356291,43.73312303
2679,D43,-79.24734447,43.73517274
2680,D32,-79.4310531,43.72501221
2681,D14,-79.40552931,43.64782493
2682,D23,-79.54096582,43.68225945
2683,D41,-79.27968083,43.67748997
2684,D14,-79.40663406,43.66607805
2685,D31,-79.54009233,43.74179496
2686,D14,-79.40415004,43.6476754
2687,D43,-79.22362234,43.76162435
2688,D55,-79.33340328,43.67407663
2689,D12,-79.47811318,43.69300017
2690,D32,-79.4430091,43.79108334
2691,D43,-79.22279775,43.75926619
2692,D33,-79.38028427,43.76840985
2693,D22,-79.50794492,43.60112996
2694,D54,-79.30853004,43.68974839
2695,D11,-79.46106193,43.66518912
2696,D32,-79.4329009,43.74411394
2697,D14,-79.4309343,43.63997369
2698,D42,-79.32592716,43.79433142
2699,D11,-79.48509718,43.65090827
2700,D55,-79.33741384,43.66581015
2701,D14,-79.40822185,43.67461234
2702,D42,-79.22664531,43.8051811
2703,D53,-79.3687933,43.67333061
2704,D51,-79.36972623,43.64848901
2705,D12,-79.51208583,43.70109301
2706,D33,-79.32852645,43.76191591
2707,D32,-79.39829276,43.77429926
2708,D53,-79.39598838,43.67335138
2709,D53,-79.40974783,43.68606826
2710,D12,-79.46448248,43.68405897
2711,D41,-79.30119157,43.75643202
2712,D51,-79.36801682,43.66446336
2713,D55,-79.30233825,43.66991629
2714,D14,-79.40530179,43.660552
2715,D13,-79.41468595,43.6767408
2716,D51,-79.37783798,43.66217202
2717,D54,-79.35764852,43.68128071
2718,D12,-79.49631894,43.67210966
2719,D51,-79.35696097,43.6547545
2720,D43,-79.13893361,43.79467427
2721,D23,-79.61948978,43.75303822
2722,D51,-79.38159626,43.66440307
2723,D31,-79.53889406,43.74302453
2724,D12,-79.50829177,43.70198027
2725,D52,-79.39387167,43.65067314
2726,D22,-79.51445237,43.62299356
2727,D14,-79.4026656,43.64392483
2728,D54,-79.31572883,43.70267118
2729,D43,-79.18013983,43.7697582
2730,D32,-79.44209833,43.77037563
2731,D41,-79.24912036,43.70656836
2732,D41,-79.24964233,43.70578491
2733,D51,-79.38334664,43.66205466
2734,D54,-79.2968997,43.7013288
2735,D43,-79.19920147,43.74750492
2736,D55,-79.32523013,43.66251627
2737,D52,-79.38015971,43.63996312
2738,D31,-79.49745577,43.76918847
2739,D22,-79.57582715,43.66910129
2740,D53,-79.40402452,43.68837287
2741,D31,-79.52359796,43.74122021
2742,D31,-79.50287602,43.73994232
2743,D31,-79.53746202,43.72037837
2744,D52,-79.38402022,43.65643576
2745,D22,-79.48731142,43.61728142
2746,D22,-79.52200305,43.6459276
2747,D33,-79.34455059,43.77356825
2748,D32,-79.41865585,43.76799853
2749,D32,-79.41523419,43.7400202
2750,D33,-79.39166819,43.78291517
2751,D12,-79.49470837,43.67399077
2752,D43,-79.20583344,43.76458416
2753,D31,-79.5373372,43.74239709
2754,D31,-79.48582324,43.73817389
2755,D23,-79.59268912,43.75542524
2756,D11,-79.47100511,43.63695828
2757,D52,-79.39105358,43.64631528
2758,D53,-79.38101786,43.72056745
